iter	Passed	Remaining
405	8155	11931
406	8174	11909
407	8193	11888
408	8207	11860
409	8223	11833
410	8238	11806
411	8255	11782
412	8268	11751
413	8286	11728
414	8299	11699
415	8318	11677
416	8336	11655
417	8354	11631
418	8371	11607
419	8386	11581
420	8420	11580
421	8444	11565
422	8460	11540
423	8475	11513
424	8488	11483
425	8505	11460
426	8533	11451
427	8567	11450
428	8599	11446
429	8621	11428
430	8643	11411
431	8664	11391
432	8682	11369
433	8707	11355
434	8730	11339
435	8744	11311
436	8759	11285
437	8772	11256
438	8785	11226
439	8799	11199
440	8812	11170
441	8826	11143
442	8838	11113
443	8850	11082
444	8864	11056
445	8876	11026
446	8889	10997
447	8903	10970
448	8921	10948
449	8937	10923
450	8954	10899
451	8969	10874
452	8987	10852
453	9003	10827
454	9018	10802
455	9031	10774
456	9048	10751
457	9063	10725
458	9080	10702
459	9098	10680
460	9119	10663
461	9135	10638
462	9161	10625
463	9181	10605
464	9197	10582
465	9214	10559
466	9228	10532
467	9244	10508
468	9256	10480
469	9271	10455
470	9284	10427
471	9296	10399
472	9309	10371
473	9323	10346
474	9341	10325
475	9358	10301
476	9374	10278
477	9388	10252
478	9414	10240
479	9433	10220
480	9447	10194
481	9463	10170
482	9475	10142
483	9489	10117
484	9502	10090
485	9517	10066
486	9529	10038
487	9544	10014
488	9557	9987
489	9574	9965
490	9588	9939
491	9604	9917
492	9618	9891
493	9632	9866
494	9649	9844
495	9667	9823
496	9681	9798
497	9695	9773
498	9709	9748
499	9728	9728
500	9741	9702
501	9754	9676
502	9772	9655
503	9786	9631
504	9805	9611
505	9821	9588
506	9839	9567
507	9852	9542
508	9869	9520
509	9881	9494
510	9900	9474
511	9916	9451
512	9933	9430
513	9949	9407
514	9966	9386
515	9981	9362
516	9998	9340
517	10013	9318
518	10027	9292
519	10041	9269
520	10055	9244
521	10068	9219
522	10083	9196
523	10098	9173
524	10115	9152
525	10142	9139
526	10164	9122
527	10183	9103
528	10200	9082
529	10217	9061
530	10238	9043
531	10251	9017
532	10267	8995
533	10278	8969
534	10294	8947
535	10307	8923
536	10321	8898
537	10333	8873
538	10346	8849
539	10358	8824
540	10370	8798
541	10384	8775
542	10396	8749
543	10409	8725
544	10423	8702
545	10435	8677
546	10454	8658
547	10466	8632
548	10524	8645
549	10537	8621
550	10552	8599
551	10568	8576
552	10582	8554
553	10597	8531
554	10617	8513
555	10631	8490
556	10650	8470
557	10671	8452
558	10687	8431
559	10705	8411
560	10720	8389
561	10737	8368
562	10751	8345
563	10765	8322
564	10777	8297
565	10791	8274
566	10804	8251
567	10816	8226
568	10831	8204
569	10845	8181
570	10941	8220
571	10973	8210
572	10989	8189
573	11005	8167
574	11022	8147
575	11037	8124
576	11053	8103
577	11067	8080
578	11084	8059
579	11099	8037
580	11116	8016
581	11131	7994
582	11149	7974
583	11163	7951
584	11177	7929
585	11188	7904
586	11204	7883
587	11220	7861
588	11234	7839
589	11247	7815
590	11261	7793
591	11273	7769
592	11285	7745
593	11298	7722
594	11309	7698
595	11323	7675
596	11334	7651
597	11349	7629
598	11362	7606
599	11375	7583
600	11394	7565
601	11413	7545
602	11427	7523
603	11444	7503
604	11463	7484
605	11482	7465
606	11498	7444
607	11515	7424
608	11532	7404
609	11548	7383
610	11566	7363
611	11580	7341
612	11600	7323
613	11614	7301
614	11638	7285
615	11660	7268
616	11674	7246
617	11689	7225
618	11704	7204
619	11716	7181
620	11730	7159
621	11743	7136
622	11758	7115
623	11771	7092
624	11784	7070
625	11797	7048
626	11809	7025
627	11824	7004
628	11836	6981
629	11847	6957
630	11861	6936
631	11872	6913
632	11890	6894
633	11905	6872
634	11923	6853
635	11939	6833
636	11957	6814
637	11973	6793
638	11988	6772
639	12005	6753
640	12020	6732
641	12035	6711
642	12050	6690
643	12067	6670
644	12081	6649
645	12097	6629
646	12111	6607
647	12131	6590
648	12146	6569
649	12164	6550
650	12176	6527
651	12193	6507
652	12208	6487
653	12224	6467
654	12238	6446
655	12253	6425
656	12267	6404
657	12280	6382
658	12291	6360
659	12313	6343
660	12324	6320
661	12341	6301
662	12354	6279
663	12369	6259
664	12384	6239
665	12401	6219
666	12414	6197
667	12430	6178
668	12443	6156
669	12455	6134
670	12469	6114
671	12482	6092
672	12496	6072
673	12510	6050
674	12524	6030
675	12537	6009
676	12548	5987
677	12562	5966
678	12575	5945
679	12590	5924
680	12601	5902
681	12613	5881
682	12629	5861
683	12643	5840
684	12656	5820
685	12669	5798
686	12681	5777
687	12693	5756
688	12706	5735
689	12720	5715
690	12734	5694
691	12748	5674
692	12759	5652
693	12772	5631
694	12784	5610
695	12794	5588
696	12810	5568
697	12822	5548
698	12836	5527
699	12847	5506
700	12858	5484
701	12873	5464
702	12888	5444
703	12900	5423
704	12911	5402
705	12924	5382
706	12936	5361
707	12951	5341
708	12963	5320
709	12974	5299
710	12990	5280
711	13003	5259
712	13017	5240
713	13029	5219
714	13040	5197
715	13054	5178
716	13066	5157
717	13080	5137
718	13091	5116
719	13105	5096
720	13121	5077
721	13136	5057
722	13152	5039
723	13168	5020
724	13183	5000
725	13201	4982
726	13214	4962
727	13231	4943
728	13245	4924
729	13261	4904
730	13275	4885
731	13286	4864
732	13301	4845
733	13315	4825
734	13329	4805
735	13341	4785
736	13358	4766
737	13373	4747
738	13388	4728
739	13400	4708
740	13415	4688
741	13429	4669
742	13442	4649
743	13453	4629
744	13464	4608
745	13478	4589
746	13490	4569
747	13506	4550
748	13522	4531
749	13542	4514
750	13560	4495
751	13578	4477
752	13593	4458
753	13612	4441
754	13644	4427
755	13661	4409
756	13678	4390
757	13697	4373
758	13723	4357
759	13754	4343
760	13770	4324
761	13791	4307
762	13839	4298
763	13873	4285
764	13904	4271
765	13923	4253
766	13991	4250
767	14062	4248
768	14105	4237
769	14137	4223
770	14168	4208
771	14187	4190
772	14206	4171
773	14226	4154
774	14246	4136
775	14274	4120
776	14308	4106
777	14332	4089
778	14353	4072
779	14375	4054
780	14393	4036
781	14410	4017
782	14431	3999
783	14450	3981
784	14464	3961
785	14483	3943
786	14502	3925
787	14521	3906
788	14540	3888
789	14558	3869
790	14575	3851
791	14599	3834
792	14622	3817
793	14642	3798
794	14667	3782
795	14686	3763
796	14701	3744
797	14729	3728
798	14747	3709
799	14762	3690
800	14779	3671
801	14795	3652
802	14813	3634
803	14827	3614
804	14845	3595
805	14866	3578
806	14883	3559
807	14909	3542
808	14933	3525
809	14954	3507
810	14978	3490
811	14998	3472
812	15014	3453
813	15034	3435
814	15049	3416
815	15066	3397
816	15079	3377
817	15096	3358
818	15110	3339
819	15130	3321
820	15146	3302
821	15165	3284
822	15184	3265
823	15201	3246
824	15218	3228
825	15243	3211
826	15261	3192
827	15277	3173
828	15296	3155
829	15313	3136
830	15335	3118
831	15354	3100
832	15374	3082
833	15400	3065
834	15421	3047
835	15438	3028
836	15456	3009
837	15523	3000
838	15556	2985
839	15574	2966
840	15588	2947
841	15603	2928
842	15619	2908
843	15632	2889
844	15647	2870
845	15666	2851
846	15680	2832
847	15697	2813
848	15709	2793
849	15728	2775
850	15742	2756
851	15767	2738
852	15783	2720
853	15805	2702
854	15824	2683
855	15838	2664
856	15865	2647
857	15884	2628
858	15898	2609
859	15914	2590
860	15926	2571
861	15941	2552
862	15953	2532
863	15968	2513
864	15981	2494
865	15995	2474
866	16011	2456
867	16024	2436
868	16038	2417
869	16050	2398
870	16066	2379
871	16084	2360
872	16108	2343
873	16131	2325
874	16155	2307
875	16175	2289
876	16201	2272
877	16226	2254
878	16257	2237
879	16279	2219
880	16306	2202
881	16325	2184
882	16354	2166
883	16376	2148
884	16393	2130
885	16411	2111
886	16427	2092
887	16446	2074
888	16465	2055
889	16491	2038
890	16512	2020
891	16539	2002
892	16557	1983
893	16577	1965
894	16607	1948
895	16629	1930
896	16654	1912
897	16681	1894
898	16707	1876
899	16722	1858
900	16737	1839
901	16754	1820
902	16767	1801
903	16784	1782
904	16797	1763
905	16812	1744
906	16826	1725
907	16843	1706
908	16868	1688
909	16887	1670
910	16905	1651
911	16988	1639
912	17034	1623
913	17053	1604
914	17072	1585
915	17090	1567
916	17143	1551
917	17176	1534
918	17211	1516
919	17238	1499
920	17259	1480
921	17281	1461
922	17306	1443
923	17330	1425
924	17356	1407
925	17377	1388
926	17400	1370
927	17422	1351
928	17442	1333
929	17470	1315
930	17494	1296
931	17514	1277
932	17531	1258
933	17550	1240
934	17565	1221
935	17589	1202
936	17616	1184
937	17634	1165
938	17648	1146
939	17666	1127
940	17685	1108
941	17705	1090
942	17720	1071
943	17741	1052
944	17760	1033
945	17775	1014
946	17795	995
947	17810	976
948	17826	958
949	17841	939
950	17861	920
951	17874	901
952	17889	882
953	17902	863
954	17919	844
955	17935	825
956	17950	806
957	17967	787
958	17982	768
959	18000	750
960	18023	731
961	18040	712
962	18055	693
963	18074	674
964	18089	656
965	18111	637
966	18133	618
967	18156	600
968	18176	581
969	18199	562
970	18216	544
971	18238	525
972	18257	506
973	18274	487
974	18292	469
975	18311	450
976	18330	431
977	18347	412
978	18367	393
979	18388	375
980	18408	356
981	18428	337
982	18452	319
983	18471	300
984	18485	281
985	18501	262
986	18518	243
987	18540	225
988	18556	206
989	18572	187
990	18591	168
991	18609	150
992	18627	131
993	18643	112
994	18659	93
995	18675	75
996	18692	56
997	18709	37
998	18725	18
999	18740	0
